Month,Liquidity_Stress_Index
1/22/2016,-1.246190407
2/19/2016,-1.254674681
3/18/2016,-1.375615751
4/29/2016,-1.406547156
5/27/2016,-1.417057717
6/24/2016,-1.389208073
7/22/2016,-1.409772466
8/19/2016,-1.395261516
9/30/2016,-1.175535094
10/28/2016,-1.264512943
11/25/2016,-0.955888281
12/23/2016,-0.918892312
1/20/2017,-1.111382441
2/17/2017,-1.171512765
3/31/2017,-0.887009904
4/28/2017,-1.032823848
5/26/2017,-1.046254725
6/23/2017,-0.998746358
7/21/2017,-1.011929296
8/18/2017,-0.968237332
9/29/2017,-0.789883996
10/27/2017,-0.933162449
11/24/2017,-0.971158749
12/22/2017,-0.889642883
1/19/2018,-0.886390712
2/16/2018,-0.844755712
3/30/2018,-0.567990031
4/27/2018,-0.72018337
5/25/2018,-0.756987383
6/22/2018,-0.73594493
7/20/2018,-0.818141041
8/31/2018,-0.654143511
9/28/2018,-0.578231684
10/26/2018,-0.63217036
11/23/2018,-0.656527872
12/21/2018,-0.636859815
1/18/2019,-0.632185713
2/15/2019,-0.570018063
3/29/2019,-0.302892
4/26/2019,-0.459398833
5/24/2019,-0.546580624
6/21/2019,-0.564150765
7/19/2019,-0.563039163
8/30/2019,-0.468518988
9/27/2019,-0.430935451
10/25/2019,-0.581476308
11/22/2019,-0.570360672
12/20/2019,-0.676158518
1/31/2020,-0.543568024
2/28/2020,-0.492273406
3/27/2020,-0.30153453
4/24/2020,-0.311426971
5/22/2020,-0.361614254
6/19/2020,-0.365416413
7/31/2020,-0.352529626
8/28/2020,-0.341080451
9/25/2020,-0.341050362
10/23/2020,-0.37556825
11/20/2020,-0.380594312
12/18/2020,-0.363662892
1/29/2021,-0.302197902
2/26/2021,-0.265664025
3/26/2021,-0.091042945
4/23/2021,-0.18790598
5/21/2021,-0.266224125
6/18/2021,-0.205953932
7/30/2021,-0.12330452
8/27/2021,-0.154089147
9/24/2021,-0.104011015
10/22/2021,-0.042604718
11/19/2021,-0.093290946
12/31/2021,0.082615588
1/28/2022,-0.016340131
2/25/2022,0.057210419
3/25/2022,0.186062341
4/22/2022,0.218293799
5/20/2022,0.295358991
6/17/2022,0.377782684
7/29/2022,0.463797165
8/26/2022,0.470663668
9/23/2022,0.515535204
10/21/2022,0.592693259
11/18/2022,0.574791156
12/30/2022,0.67212571
1/27/2023,0.681563372
2/24/2023,0.733574288
3/24/2023,0.825062012
4/21/2023,0.792352046
5/19/2023,0.820469859
6/30/2023,1.085429149
7/28/2023,1.027869319
8/25/2023,1.116010365
9/22/2023,1.167541178
10/20/2023,1.357726072
11/17/2023,1.340212148
12/29/2023,1.485907866
1/26/2024,1.41181022
2/23/2024,1.446151646
3/22/2024,1.60569115
4/19/2024,1.605647522
5/31/2024,1.61876116
6/28/2024,1.70333602
7/26/2024,1.583947832
8/23/2024,1.726904533
9/20/2024,1.694038604
10/18/2024,1.757980537
11/29/2024,1.760676328
12/27/2024,1.839390209
1/24/2025,1.796432742
2/21/2025,1.826629688
3/21/2025,2.009113005
4/18/2025,1.961585656
5/30/2025,2.093732204
6/27/2025,2.118110762
7/25/2025,1.833801181
,-1.241342256
,-0.167030972
,-0.167030972
,-0.167030972
,-0.167030972
,-0.167030972
